locus_tag	old_locus_tag	gene_name	product	tf_family	region	nearest_methyl_distance	n_methyl_sites_2kb	baseMean	LFC_T2vsT1	LFC_T3vsT1	n_FIMO_hits	classification
SC_RS28795	SCO5323		Lrp/AsnC family transcriptional regulator	Lrp	0	2003	0	84.02	-2.18	-1.481	3	shielded
SC_RS28860	SCO5337		XRE family transcriptional regulator	XRE	0	628	1	94.163	-1.0	-0.825	8	shielded
SC_RS28935	SCO5351		response regulator	Response regulator	0	1622	1	1757.245	4.13	4.037	7	shielded
SC_RS28965	SCO5357	rho	transcription termination factor Rho	Other regulatory	0	647	3	6088.911	-0.571	-1.753	3	shielded
SC_RS29065	SCO5377		response regulator	Response regulator	0	354	3	62.441	-0.034	0.168	3	shielded
SC_RS29070	SCO5378		sensor histidine kinase	Sensor kinase	0	571	3	88.694	0.808	1.077	2	shielded
SC_RS29100	SCO5384		TetR/AcrR family transcriptional regulator	TetR	0	2307	0	112.738	-0.863	-0.928	4	shielded
SC_RS29195	SCO5403		response regulator transcription factor	Response regulator	0	2442	0	66.293	-1.145	-0.996	4	shielded
SC_RS29200	SCO5404		sensor histidine kinase	Sensor kinase	0	2432	0	114.37	-0.836	-0.406	3	shielded
SC_RS29205	SCO5405		MarR family winged helix-turn-helix transcriptional regulator	MarR	0	511	1	1210.46	2.892	1.236	2	shielded
SC_RS29245	SCO5413		MarR family winged helix-turn-helix transcriptional regulator	MarR	0	4219	0	63.329	1.115	1.03	6	shielded
SC_RS29260	SCO5416		GlxA family transcriptional regulator	Other regulatory	0	453	2	803.19	1.146	0.167	3	shielded
SC_RS29270	SCO5418		TetR/AcrR family transcriptional regulator	TetR	0	1327	2	56.602	-2.058	-0.722	5	shielded
SC_RS29275	SCO5419		tetratricopeptide repeat protein	TetR	0	1610	3	3298.29	0.311	-1.324	4	shielded
SC_RS29315	SCO5427		helix-turn-helix domain-containing protein	HTH (other)	0	2698	0	214.717	-0.552	-1.554	4	shielded
SC_RS29335			Scr1 family TA system antitoxin-like transcriptional regulator	Other regulatory	0	118	5	21.013	-0.025	0.926	4	shielded
SC_RS29350	SCO5433	tcrA	AfsR-like transcriptional regulator TcrA	Other regulatory	0	166	4	110.759	1.04	1.492	11	exposed
SC_RS29355	SCO5434		response regulator	Response regulator	0	76	2	67.799	-1.922	-1.116	3	exposed
SC_RS29360	SCO5435		sensor histidine kinase	Sensor kinase	0	1251	6	154.708	-2.946	-1.127	6	shielded
SC_RS29370	SCO5437		MerR family transcriptional regulator	MerR	0	288	5	65.818	0.167	-0.214	4	shielded
SC_RS29455	SCO5454		sensor histidine kinase	Sensor kinase	0	1402	1	85.011	-0.256	0.337	7	shielded
SC_RS29460	SCO5455		response regulator	Response regulator	0	2645	0	49.807	-0.558	-0.326	3	shielded
SC_RS29500	SCO5463		MerR family transcriptional regulator	MerR	0	226	3	26.179	1.042	3.01	4	shielded
SC_RS29600	SCO5483		TetR family transcriptional regulator	TetR	0	493	2	86.638	-1.927	-1.348	5	shielded
SC_RS29715	SCO5506		helix-turn-helix transcriptional regulator	HTH (other)	0	374	1	361.35	0.063	-0.139	4	shielded
SC_RS29770	SCO5517		TetR/AcrR family transcriptional regulator	TetR	0	273	3	208.363	-1.256	-1.705	1	shielded
SC_RS29775	SCO5518		PucR family transcriptional regulator	Other regulatory	0	1046	1	178.686	-1.064	-1.083	5	shielded
SC_RS29825	SCO5528		TetR/AcrR family transcriptional regulator	TetR	0	448	3	109.015	-0.825	-1.208	1	shielded
SC_RS29845	SCO5532		TetR/AcrR family transcriptional regulator	TetR	0	252	4	70.949	-0.032	-0.753	3	shielded
SC_RS29905	SCO5544		sensor histidine kinase	Sensor kinase	0	195	1	5945.254	-1.313	-3.053	5	shielded
SC_RS29960	SCO5550		MerR family transcriptional regulator	MerR	0	455	2	104.106	-0.895	-1.541	5	shielded
SC_RS29970	SCO5552	ndgR	IclR family transcriptional regulator NdgR	IclR	0	1891	1	449.724	0.798	-1.73	4	shielded
SC_RS29990	SCO5556		HU family DNA-binding protein	Other regulatory	0	1358	2	985.811	-1.558	-2.142	3	shielded
SC_RS30020	SCO5561		Lrp/AsnC family transcriptional regulator	Lrp	0	935	3	366.133	-0.954	-1.679	1	shielded
SC_RS30085	SCO5574		winged helix-turn-helix transcriptional regulator	HTH (other)	0	621	1	410.623	0.763	-0.299	1	shielded
SC_RS30130	SCO5582	nsdA	transcriptional repressor NsdA	Repressor	0	748	5	3246.287	6.638	6.056	5	shielded
SC_RS30140	SCO5584		P-II family nitrogen regulator	Other regulatory	0	126	5	61.074	-0.58	-1.435	3	exposed
SC_RS30255	SCO5607		GntR family transcriptional regulator	GntR	0	1988	1	100.04	0.93	0.821	4	shielded
SC_RS30275	SCO5611		helix-turn-helix domain-containing protein	HTH (other)	0	762	3	18.109	1.127	1.87	2	shielded
SC_RS30290	SCO5614		helix-turn-helix transcriptional regulator	HTH (other)	0	16	3	9.107	0.638	4.091	1	shielded
SC_RS30330	SCO5621	whiG	RNA polymerase sigma factor WhiG	Sigma factor	0	1551	2	110.009	2.003	1.844	6	shielded
SC_RS30335	SCO5622		TetR/AcrR family transcriptional regulator	TetR	0	580	3	428.454	1.021	-0.298	2	shielded
SC_RS30340	SCO5623		murein hydrolase activator EnvC family protein	Activator	0	68	6	80.855	0.433	-0.16	6	shielded
SC_RS30370	SCO5629	fxsT	FxSxx-COOH system tetratricopeptide repeat protein	TetR	0	91	9	343.412	2.649	2.653	5	shielded
SC_RS30395			SCO3933 family regulatory protein	Other regulatory	0	2081	0	13.825	0.397	1.442	5	shielded
SC_RS30400	SCO5636		GntR family transcriptional regulator	GntR	0	2403	0	389.734	0.421	0.315	7	shielded
SC_RS30495	SCO5656		Lrp/AsnC family transcriptional regulator	Lrp	0	1871	1	1202.751	-2.1	-2.385	2	shielded
SC_RS30590	SCO5675		tetratricopeptide repeat protein	TetR	0	1856	1	159.419	-1.868	-1.764	3	shielded
SC_RS30605	SCO5678		PucR family transcriptional regulator	Other regulatory	0	529	3	259.675	-0.919	-1.129	3	shielded
SC_RS30630	SCO5683		sensor histidine kinase	Sensor kinase	0	237	6	107.772	0.104	1.358	1	shielded
SC_RS30635	SCO5684		response regulator	Response regulator	0	391	6	34.47	-0.144	0.921	5	shielded
SC_RS30675	SCO5692		LacI family DNA-binding transcriptional regulator	LacI	0	724	4	78.828	-0.826	-0.069	5	shielded
SC_RS30735	SCO5704	nusA	transcription termination factor NusA	Other regulatory	0	629	5	2995.983	-2.196	-3.145	2	shielded
SC_RS30905	SCO5739	dapB	4-hydroxy-tetrahydrodipicolinate reductase	TetR	0	1265	2	565.424	-1.673	-2.787	2	shielded
SC_RS30910	SCO5740		tetratricopeptide repeat protein	TetR	0	582	1	183.418	-2.016	-2.815	4	shielded
SC_RS30930	SCO5744	dapA	4-hydroxy-tetrahydrodipicolinate synthase	TetR	0	305	1	904.128	-0.503	-1.581	6	shielded
SC_RS30975	SCO5749		response regulator	Response regulator	0	1011	2	1630.257	1.186	-0.202	8	shielded
SC_RS30985	SCO5751		helix-turn-helix domain-containing protein	HTH (other)	0	2589	0	2028.776	1.766	-1.032	3	shielded
SC_RS31005	SCO5755		helix-turn-helix domain-containing protein	HTH (other)	0	3421	0	2343.648	0.099	0.512	2	shielded
SC_RS31020	SCO5758		ArsR/SmtB family transcription factor	ArsR	0	2052	0	185.53	1.678	1.505	0	shielded
SC_RS31040	SCO5762		AraC family transcriptional regulator	AraC	0	123	3	122.024	-0.117	-0.268	3	shielded
SC_RS31080	SCO5770	recX	recombination regulator RecX	Other regulatory	0	2351	0	1474.995	-1.305	-1.735	2	shielded
SC_RS31130	SCO5778		response regulator transcription factor	Response regulator	0	1386	2	66.681	-3.291	-1.178	5	shielded
SC_RS31135	SCO5779		HAMP domain-containing sensor histidine kinase	Sensor kinase	0	1263	1	63.182	-1.975	0.105	0	shielded
SC_RS31155	SCO5783		cation:proton antiporter regulatory subunit	Other regulatory	0	335	3	267.853	-0.654	-0.986	2	shielded
SC_RS31160	SCO5784		HAMP domain-containing sensor histidine kinase	Sensor kinase	0	220	3	180.647	-0.878	-0.302	2	shielded
SC_RS31165	SCO5785		response regulator	Response regulator	0	835	4	40.637	-0.818	0.336	1	shielded
SC_RS31255	SCO5803	lexA	transcriptional repressor LexA	Repressor	0	811	1	2662.099	2.869	1.495	4	shielded
SC_RS31260	SCO5804	nrdR	transcriptional regulator NrdR	Other regulatory	0	227	2	1707.053	0.074	-2.503	4	shielded
SC_RS31295	SCO5811		TetR/AcrR family transcriptional regulator	TetR	0	3928	0	218.967	1.509	1.211	2	shielded
SC_RS31335	SCO5819	whiH	sporulation transcriptional regulator WhiH	Other regulatory	0	945	3	429.722	5.447	3.464	5	shielded
SC_RS31340	SCO5820		RNA polymerase sigma factor	Sigma factor	0	370	3	3030.302	-0.269	-0.788	8	shielded
SC_RS31365	SCO5824		sensor histidine kinase	Sensor kinase	0	80	2	63.752	-0.374	0.116	2	shielded
SC_RS31370	SCO5825		response regulator	Response regulator	0	1149	3	85.909	0.378	-0.168	5	shielded
SC_RS31385	SCO5828		response regulator	Response regulator	0	48	3	219.227	3.201	1.091	8	exposed
SC_RS31445	SCO5840		GntR family transcriptional regulator	GntR	0	220	1	188.8	0.219	-1.147	3	shielded
SC_RS31480	SCO5847		GntR family transcriptional regulator	GntR	0	612	3	87.584	-0.565	-0.32	7	shielded
SC_RS31555	SCO5862		response regulator transcription factor	Response regulator	0	675	7	441.093	-1.438	0.085	3	shielded
SC_RS31560	SCO5863		sensor histidine kinase	Sensor kinase	0	449	6	508.467	-1.387	-0.034	3	shielded
SC_RS31600	SCO5871		sensor histidine kinase	Sensor kinase	0	2514	0	307.032	-0.325	-0.356	4	shielded
SC_RS31605	SCO5872		response regulator	Response regulator	0	1527	1	75.84	0.005	-0.108	2	shielded
SC_RS31630	SCO5877		AfsR/SARP family transcriptional regulator	SARP	0	2423	0	925.548	5.789	4.999	3	shielded
SC_RS31650	SCO5881		response regulator transcription factor	Response regulator	0	239	1	1128.952	0.907	0.966	4	shielded
SC_RS31765			LuxR C-terminal-related transcriptional regulator	Other regulatory	0	2960	0	15.646	-2.754	0.496	5	shielded
SC_RS31780	SCO5906		TetR/AcrR family transcriptional regulator	TetR	0	1614	1	183.567	0.447	-0.613	0	shielded
SC_RS31810	SCO5914		LysR substrate-binding domain-containing protein	LysR	0	1172	2	381.3	-0.142	-0.318	1	shielded
SC_RS31825	SCO5917		MerR family transcriptional regulator	MerR	0	114	5	52.385	0.445	0.91	2	shielded
SC_RS31885			MerR family transcriptional regulator	MerR	0	552	1	6.303	-0.817	0.456	6	shielded
SC_RS31920	SCO5934		RNA polymerase sigma factor	Sigma factor	0	2295	0	62.405	-0.402	0.087	5	shielded
SC_RS31955	SCO5942		TetR/AcrR family transcriptional regulator	TetR	0	1318	1	93.094	-0.113	-0.499	7	shielded
SC_RS32000	SCO5951		TetR-like C-terminal domain-containing protein	TetR	0	153	2	140.239	1.414	0.507	1	shielded
SC_RS32025	SCO5956		TetR/AcrR family transcriptional regulator	TetR	0	5	4	64.323	-2.092	-1.036	2	exposed
SC_RS32055	SCO5962		MerR family transcriptional regulator	MerR	0	598	2	23.276	0.062	1.564	1	shielded
SC_RS32155	SCO5982		PaaX family transcriptional regulator	Other regulatory	0	391	3	274.024	-2.518	-3.227	9	shielded
SC_RS32230	SCO5998		helix-turn-helix domain-containing protein	HTH (other)	0	2565	0	926.32	0.677	-0.571	2	shielded
SC_RS32255	SCO6003		helix-turn-helix domain-containing protein	HTH (other)	0	2427	0	240.345	0.591	0.623	4	shielded
SC_RS32280	SCO6008		ROK family transcriptional regulator	ROK	0	4387	0	912.876	1.949	0.339	3	shielded
SC_RS32380	SCO6029		response regulator transcription factor	Response regulator	0	2646	0	46.018	2.009	2.347	3	shielded
SC_RS32585	SCO6069		sensor histidine kinase	Sensor kinase	0	832	2	352.086	0.191	-0.101	9	shielded
SC_RS32595	SCO6071	cprB	transcriptional regulator CprB	Other regulatory	0	440	2	161.882	-0.467	-0.981	3	shielded
SC_RS32795	SCO6110		ROK family protein	ROK	0	296	3	108.95	1.008	-0.312	3	shielded
SC_RS32820	SCO6115		ROK family protein	ROK	0	364	1	68.737	-0.837	0.215	2	shielded
SC_RS32835	SCO6118		AraC family transcriptional regulator	AraC	0	294	5	113.851	0.751	0.406	5	shielded
SC_RS32840	SCO6119		helix-turn-helix transcriptional regulator	HTH (other)	0	910	4	63.683	0.073	-0.158	9	shielded
SC_RS32850	SCO6121		TetR/AcrR family transcriptional regulator	TetR	0	1049	3	211.035	-1.727	-2.189	4	shielded
SC_RS32895	SCO6129		helix-turn-helix domain-containing protein	HTH (other)	0	1005	2	134.632	3.904	3.899	11	shielded
SC_RS32945	SCO6139		sensor histidine kinase	Sensor kinase	0	510	1	230.058	0.67	-0.326	4	shielded
SC_RS32950	SCO6140		response regulator	Response regulator	0	1127	3	115.474	0.511	-0.36	1	shielded
SC_RS32970	SCO6144		TetR-like C-terminal domain-containing protein	TetR	0	67	7	158.104	-0.367	-0.66	6	shielded
SC_RS33015	SCO6153		helix-turn-helix transcriptional regulator	HTH (other)	0	1072	3	233.033	-0.615	-0.602	3	shielded
SC_RS33045	SCO6159		GntR family transcriptional regulator	GntR	0	619	7	423.898	-1.211	-1.304	7	shielded
SC_RS33060	SCO6162		response regulator	Response regulator	0	847	4	44.788	-0.017	0.83	1	shielded
SC_RS33065	SCO6163		HAMP domain-containing sensor histidine kinase	Sensor kinase	0	589	3	104.767	0.786	0.62	5	shielded
SC_RS33075	SCO6165		TraR/DksA family transcriptional regulator	Other regulatory	0	144	4	7.929	0.923	4.398	6	exposed
SC_RS33095	SCO6169		PucR family transcriptional regulator	Other regulatory	0	1398	2	644.464	-1.489	-2.251	7	shielded
SC_RS33210	SCO6192		winged helix DNA-binding domain-containing protein	HTH (other)	0	1161	3	50.257	0.936	1.729	7	shielded
SC_RS33220	SCO6194		helix-turn-helix transcriptional regulator	HTH (other)	0	638	2	133.164	0.901	1.787	10	shielded
SC_RS33290	SCO6208		helix-turn-helix domain-containing protein	HTH (other)	0	484	4	237.475	2.347	0.712	6	shielded
SC_RS33325			winged helix-turn-helix transcriptional regulator	HTH (other)	0	801	1	99.146	-1.042	-1.972	3	shielded
SC_RS33365	SCO6223		winged helix-turn-helix transcriptional regulator	HTH (other)	0	537	1	44.175	-2.058	-0.56	5	shielded
SC_RS33415	SCO6233		LacI family DNA-binding transcriptional regulator	LacI	0	677	4	156.609	0.21	0.199	3	shielded
SC_RS33430	SCO6236		helix-turn-helix domain-containing protein	HTH (other)	0	1909	1	51.755	1.348	2.01	4	shielded
SC_RS33445	SCO6239	sigJ	RNA polymerase sigma factor SigJ	Sigma factor	0	633	1	41.56	1.312	2.329	7	shielded
SC_RS33480	SCO6246	allR	allantoin degradation transcriptional regulator AllR	Other regulatory	0	1271	1	185.145	-0.433	-1.072	7	shielded
SC_RS33515	SCO6253		sensor histidine kinase	Sensor kinase	0	763	3	58.742	0.616	1.473	6	shielded
SC_RS33520	SCO6254		response regulator transcription factor	Response regulator	0	2061	0	63.773	-0.202	-0.175	2	shielded
SC_RS33530	SCO6256		myo-inositol degradation transcriptional regulator	Other regulatory	0	1054	3	84.551	0.256	0.057	5	shielded
SC_RS33550	SCO6260		ROK family glucokinase	ROK	0	1325	1	259.231	-0.914	-1.799	3	shielded
SC_RS33575	SCO6265		ScbR family autoregulator-binding transcription factor	Other regulatory	0	2295	0	646.155	2.804	0.537	4	shielded
SC_RS33590	SCO6268		sensor histidine kinase	Sensor kinase	0	1858	1	88.047	3.763	3.641	1	shielded
SC_RS33650	SCO6280		AfsR/SARP family transcriptional regulator	SARP	0	322	5	3910.959	7.178	5.21	5	shielded
SC_RS33680	SCO6286		ScbR family autoregulator-binding transcription factor	Other regulatory	0	2850	0	1087.892	5.711	5.493	7	shielded
SC_RS33690	SCO6288		AfsR/SARP family transcriptional regulator	SARP	0	2051	0	130.713	4.557	3.896	8	shielded
SC_RS33720	SCO6294		GntR family transcriptional regulator	GntR	0	2782	0	218.185	-1.282	-1.11	3	shielded
SC_RS33745	SCO6299		TetR/AcrR family transcriptional regulator	TetR	0	35	3	75.179	-1.411	-0.8	7	exposed
SC_RS33790	SCO6309		LysR family transcriptional regulator	LysR	0	274	1	39.95	-1.252	0.769	4	shielded
SC_RS33805	SCO6312		ScbR family autoregulator-binding transcription factor	Other regulatory	0	1134	2	667.536	-0.409	-0.717	4	shielded
SC_RS33845	SCO6323		ScbR family autoregulator-binding transcription factor	Other regulatory	0	4214	0	297.614	5.126	2.526	2	shielded
SC_RS33895	SCO6334		LuxR C-terminal-related transcriptional regulator	Other regulatory	0	30	4	99.459	1.079	2.625	4	exposed
SC_RS33960	SCO6349		LacI family DNA-binding transcriptional regulator	LacI	0	139	3	152.021	0.688	0.03	5	shielded
SC_RS33965	SCO6350		TetR/AcrR family transcriptional regulator	TetR	0	620	5	35.788	-0.05	0.255	1	shielded
SC_RS33980	SCO6353		sensor histidine kinase	Sensor kinase	0	1606	1	69.293	0.253	1.222	9	shielded
SC_RS33985	SCO6354		response regulator transcription factor	Response regulator	0	2265	0	30.924	0.039	0.65	4	shielded
SC_RS34005	SCO6358		BlaI/MecI/CopY family transcriptional regulator	Other regulatory	0	1889	1	217.146	-1.384	-1.832	6	shielded
SC_RS34025	SCO6362		sensor histidine kinase	Sensor kinase	0	1727	1	70.703	1.167	1.649	2	shielded
SC_RS34030	SCO6363		response regulator	Response regulator	0	836	2	23.788	0.786	1.779	4	shielded
SC_RS34035	SCO6364		response regulator transcription factor	Response regulator	0	448	6	18.233	0.022	1.905	1	shielded
SC_RS34060	SCO6369		HAMP domain-containing sensor histidine kinase	Sensor kinase	0	264	3	38.948	1.425	2.574	8	exposed
SC_RS34110			BlaI/MecI/CopY family transcriptional regulator	Other regulatory	0	638	2	80.139	0.32	-0.03	7	shielded
SC_RS34245	SCO6410		helix-turn-helix domain-containing protein	HTH (other)	0	350	2	107.112	0.837	0.218	6	shielded
SC_RS34260	SCO6413		PucR family transcriptional regulator	Other regulatory	0	1024	2	73.033	1.384	2.109	1	shielded
SC_RS34300	SCO6421		sensor histidine kinase	Sensor kinase	0	333	4	210.873	1.197	3.394	6	shielded
SC_RS34305	SCO6422		response regulator	Response regulator	0	529	5	172.552	1.763	2.469	1	shielded
SC_RS34315	SCO6424		HAMP domain-containing sensor histidine kinase	Sensor kinase	0	926	1	28.688	0.059	2.562	5	shielded
SC_RS34320	SCO6425		helix-turn-helix transcriptional regulator	HTH (other)	0	1101	1	30.491	-0.465	0.741	5	shielded
SC_RS34435	SCO6448		AraC family transcriptional regulator	AraC	0	1618	1	243.759	2.211	0.842	4	shielded
SC_RS34490	SCO6459		ArsR/SmtB family transcription factor	ArsR	0	1379	3	48.365	-0.167	-0.469	8	shielded
SC_RS34565	SCO6474		TetR family transcriptional regulator	TetR	0	665	3	245.686	0.214	-0.82	2	shielded
SC_RS34785	SCO6518		helix-turn-helix domain-containing protein	HTH (other)	1	630	8	100.591	1.45	0.627	1	shielded
SC_RS34795	SCO6520		RNA polymerase sigma factor SigF	Sigma factor	1	91	10	218.929	-0.769	-0.253	7	shielded
SC_RS34880	SCO6537		helix-turn-helix domain-containing protein	HTH (other)	1	144	4	177.745	0.283	-0.368	2	shielded
SC_RS34890	SCO6539		helix-turn-helix domain-containing protein	HTH (other)	1	173	5	135.044	0.523	-0.042	3	shielded
SC_RS34895	SCO6540		4a-hydroxytetrahydrobiopterin dehydratase	TetR	1	83	5	142.964	-0.122	-0.584	4	shielded
SC_RS34960	SCO6554		Lrp/AsnC family transcriptional regulator	Lrp	1	1121	3	36.406	-1.073	0.397	1	shielded
SC_RS34965	SCO6555		LysR substrate-binding domain-containing protein	LysR	1	366	3	46.936	-1.351	-0.55	1	shielded
SC_RS35020	SCO6565		GntR family transcriptional regulator	GntR	1	740	3	438.766	-1.166	-1.968	7	shielded
SC_RS35025	SCO6566		ROK family transcriptional regulator	ROK	1	140	3	565.389	-0.308	2.527	8	shielded
SC_RS35190	SCO6598		LacI family DNA-binding transcriptional regulator	LacI	1	615	3	104.824	-0.953	-0.618	3	shielded
SC_RS35195	SCO6599		TetR/AcrR family transcriptional regulator	TetR	1	236	2	108.071	-1.532	-1.55	1	exposed
SC_RS35200	SCO6600		ROK family protein	ROK	1	1255	2	28.101	-0.553	2.784	1	shielded
SC_RS35265	SCO6613		winged helix-turn-helix transcriptional regulator	HTH (other)	1	583	5	66.987	-1.014	-1.022	8	shielded
SC_RS35300	SCO6620		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	169	2	74.02	0.903	0.218	1	shielded
SC_RS35345	SCO6629		helix-turn-helix domain-containing protein	HTH (other)	1	1134	1	187.527	3.597	2.371	3	shielded
SC_RS35505	SCO6664		helix-turn-helix transcriptional regulator	HTH (other)	1	1373	1	42.578	-0.783	-0.001	3	shielded
SC_RS35520	SCO6667		response regulator	Response regulator	1	636	4	24.744	2.272	2.669	4	shielded
SC_RS35525	SCO6668		sensor histidine kinase	Sensor kinase	1	99	4	67.883	1.042	1.342	3	exposed
SC_RS35530	SCO6669		IclR family transcriptional regulator	IclR	1	727	6	18.81	0.824	2.804	3	shielded
SC_RS35560	SCO6675		helix-turn-helix domain-containing protein	HTH (other)	1	1631	1	348.858	1.049	0.619	6	shielded
SC_RS35565	SCO6676		MmyB family transcriptional regulator	Other regulatory	1	1398	1	60.491	-1.402	-0.578	2	shielded
SC_RS35610	SCO6685	ramR	two-component system response regulator RamR	Response regulator	1	286	6	55.327	6.604	7.902	3	exposed
SC_RS35620	SCO6687		DNA-binding protein	Other regulatory	1	68	4	610.386	-0.373	-0.8	1	shielded
SC_RS35655	SCO6694		TetR/AcrR family transcriptional regulator	TetR	1	470	3	641.71	0.777	0.396	8	shielded
SC_RS35705	SCO6704		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	1867	2	32.638	-0.904	0.153	5	shielded
SC_RS35750	SCO6713		LacI family DNA-binding transcriptional regulator	LacI	1	364	2	181.108	0.226	-0.097	4	shielded
SC_RS35760	SCO6715		WhiB family transcriptional regulator	WhiB	1	695	3	142.674	-1.166	-0.481	3	shielded
SC_RS35800	SCO6722	ssgD	spore wall synthesis regulator SsgD	Other regulatory	1	28	5	855.052	1.646	0.288	16	shielded
SC_RS35855	SCO6733		MerR family transcriptional regulator	MerR	1	876	5	86.506	-0.03	-0.0	3	shielded
SC_RS35915	SCO6746		GlxA family transcriptional regulator	Other regulatory	1	261	2	44.356	0.638	1.035	1	shielded
SC_RS36035	SCO6770		helix-turn-helix domain-containing protein	HTH (other)	1	2844	0	455.659	-0.067	-1.731	4	shielded
SC_RS36060	SCO6775		TetR/AcrR family transcriptional regulator	TetR	1	297	4	623.038	1.403	-0.889	6	shielded
SC_RS36075	SCO6778		TetR/AcrR family transcriptional regulator	TetR	1	569	1	396.507	-0.631	-1.563	1	shielded
SC_RS36085	SCO6781		TetR/AcrR family transcriptional regulator	TetR	1	2024	0	177.806	0.699	0.529	4	shielded
SC_RS36100	SCO6784		TetR/AcrR family transcriptional regulator	TetR	1	387	2	45.667	0.668	1.316	5	shielded
SC_RS36140	SCO6792		TetR/AcrR family transcriptional regulator	TetR	1	939	3	164.403	-0.299	-0.882	2	shielded
SC_RS36150	SCO6794		sensor histidine kinase	Sensor kinase	1	832	4	1508.067	7.132	5.126	5	shielded
SC_RS36185	SCO6801		LysR family transcriptional regulator	LysR	1	281	6	179.726	-1.632	-2.281	4	shielded
SC_RS36190	SCO6802		helix-turn-helix domain-containing protein	HTH (other)	1	668	3	62.396	-1.961	-1.995	5	shielded
SC_RS36200	SCO6804		MmcQ/YjbR family DNA-binding protein	Other regulatory	1	575	3	73.214	-1.596	-1.864	2	shielded
SC_RS36220			helix-turn-helix transcriptional regulator	HTH (other)	1	183	4	18.873	2.169	2.738	12	exposed
SC_RS36230	SCO6808		ArsR/SmtB family transcription factor	ArsR	1	557	2	337.392	3.931	1.586	2	shielded
SC_RS36250	SCO6812		ArsR/SmtB family transcription factor	ArsR	1	1351	1	117.924	1.708	2.549	4	shielded
SC_RS36255	SCO6813		ArsR/SmtB family transcription factor	ArsR	1	1639	2	57.451	1.892	2.718	1	shielded
SC_RS36305	SCO6823		ArsR/SmtB family transcription factor	ArsR	1	1235	5	527.163	1.334	-0.047	3	shielded
SC_RS36340	SCO6830		ArsR/SmtB family transcription factor	ArsR	1	1791	1	59.109	1.13	0.643	8	shielded
SC_RS36370	SCO6836		ArsR/SmtB family transcription factor	ArsR	1	1958	1	30.423	1.751	1.272	1	shielded
SC_RS36670	SCO6894		winged helix-turn-helix transcriptional regulator	HTH (other)	1	2039	0	13.882	0.614	4.473	1	shielded
SC_RS36810	SCO6922		WhiB family transcriptional regulator	WhiB	1	30	4	14.604	0.303	3.571	3	shielded
SC_RS36820	SCO6924		helix-turn-helix domain-containing protein	HTH (other)	1	15	3	24.738	-2.543	1.172	2	exposed
SC_RS36830	SCO6926		MmyB family transcriptional regulator	Other regulatory	1	1564	2	28.486	-0.937	-0.152	6	shielded
SC_RS36895	SCO6937		LuxR C-terminal-related transcriptional regulator	Other regulatory	1	1961	1	34.558	0.074	4.176	4	shielded
SC_RS36925	SCO6943		sensor histidine kinase	Sensor kinase	1	192	3	171.268	1.834	6.496	3	shielded
SC_RS36955	SCO6950		helix-turn-helix domain-containing protein	HTH (other)	1	2108	0	639.658	5.044	3.809	3	shielded
SC_RS37035			WhiB family transcriptional regulator	WhiB	1	34	8	11.799	1.235	1.747	3	exposed
SC_RS37085	SCO6974		GntR family transcriptional regulator	GntR	1	2062	0	35.389	0.396	1.269	0	shielded
SC_RS37145	SCO6986		LacI family DNA-binding transcriptional regulator	LacI	1	1324	3	45.001	0.794	1.172	4	shielded
SC_RS37190	SCO6993		LuxR family transcriptional regulator AbsR2	Other regulatory	1	1686	1	200.847	0.845	4.919	4	shielded
SC_RS37205	SCO6996		RNA polymerase sigma factor	Sigma factor	1	2147	0	262.581	-0.419	1.653	1	shielded
SC_RS37295	SCO7014		LacI family DNA-binding transcriptional regulator	LacI	1	2173	0	136.049	-0.565	-1.639	6	shielded
SC_RS37305	SCO7016		LacI family DNA-binding transcriptional regulator	LacI	1	720	3	105.025	0.02	-0.984	2	shielded
SC_RS37350	SCO7025		LysR family transcriptional regulator	LysR	1	305	2	73.24	-0.362	-0.327	2	shielded
SC_RS37360	SCO7027		LacI family DNA-binding transcriptional regulator	LacI	1	2027	0	37.3	-1.26	0.588	3	shielded
SC_RS37390	SCO7033		PucR family transcriptional regulator	Other regulatory	1	1658	1	227.299	0.308	0.379	4	shielded
SC_RS37435	SCO7042		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	536	1	190.83	-0.065	0.261	4	shielded
SC_RS37440	SCO7043		helix-turn-helix domain-containing protein	HTH (other)	1	666	1	124.877	3.73	3.818	4	shielded
SC_RS37480	SCO7051	rho	transcription termination factor Rho	Other regulatory	1	5050	0	57.892	-1.805	0.535	3	shielded
SC_RS37500	SCO7054		PadR family transcriptional regulator	PadR	1	4076	0	29.236	-0.41	0.122	2	shielded
SC_RS37510	SCO7056		GntR family transcriptional regulator	GntR	1	1988	1	272.096	2.342	0.063	8	shielded
SC_RS37535	SCO7061		MarR family winged helix-turn-helix transcriptional regulator	MarR	1	1026	4	41.307	-0.639	-0.435	6	shielded
SC_RS37565	SCO7067		PadR family transcriptional regulator	PadR	1	1181	1	33.692	0.699	0.47	3	shielded
SC_RS37610	SCO7075		response regulator transcription factor	Response regulator	1	194	4	73.939	-0.045	-0.063	6	shielded
SC_RS37615	SCO7076		HAMP domain-containing sensor histidine kinase	Sensor kinase	1	311	4	117.213	0.287	0.427	2	shielded
